none,S2,S1,S1&S2,S0,S0&S2,S0&S1,all
89.0,426.0,106.0,391.0,86.0,417.0,102.0,383.0
90.0,403.0,109.0,393.0,102.0,427.0,97.0,379.0
114.0,406.0,96.0,423.0,96.0,401.0,88.0,376.0
98.0,414.0,115.0,382.0,107.0,414.0,102.0,368.0
101.0,451.0,102.0,374.0,107.0,378.0,104.0,383.0
86.0,445.0,116.0,415.0,106.0,402.0,90.0,340.0
116.0,375.0,105.0,392.0,109.0,410.0,104.0,389.0
103.0,420.0,109.0,412.0,93.0,403.0,90.0,370.0
82.0,450.0,102.0,394.0,103.0,421.0,88.0,360.0
98.0,433.0,111.0,396.0,102.0,400.0,89.0,371.0
98.0,402.0,107.0,393.0,110.0,421.0,115.0,354.0
101.0,394.0,103.0,418.0,94.0,416.0,107.0,367.0
