S1&S2,S1,S2,neither
485.0,503.0,497.0,515.0
476.0,529.0,502.0,493.0
464.0,497.0,519.0,520.0
470.0,521.0,497.0,512.0
487.0,485.0,476.0,552.0
430.0,508.0,531.0,531.0
493.0,519.0,497.0,491.0
460.0,496.0,521.0,523.0
448.0,524.0,496.0,532.0
460.0,502.0,507.0,531.0
469.0,531.0,500.0,500.0
474.0,510.0,521.0,495.0
