TRUE,FALSE,
348,1652,
371,1629,
365,1635,
348,1652,
317,1683,
343,1657,
344,1656,
332,1668,
346,1654,
325,1675,
368,1632,
358,1642,
,,
4165,19835,24000
0.173541667,0.826458333,
