TRUE,FALSE,
429,1571,
421,1579,
408,1592,
449,1551,
427,1573,
451,1549,
446,1554,
459,1541,
425,1575,
450,1550,
431,1569,
454,1546,
,,
5250,18750,24000
0.21875,0.78125,
