TRUE,FALSE,
351,1649,
367,1633,
342,1658,
343,1657,
348,1652,
307,1693,
336,1664,
350,1650,
338,1662,
357,1643,
355,1645,
327,1673,
,,
4121,19879,24000
0.171708333,0.828291667,
