none,S2,S1,S1&S2,S0,S0&S2,S0&S1,all,,,,
1061,304,235,52,221,63,54,10,,,,
1040,288,239,62,241,64,59,7,,,,
1063,287,230,55,256,52,43,14,,,,
1047,323,226,56,229,58,49,12,,,,
1076,303,248,56,212,61,37,7,,,,
1091,315,194,57,220,67,44,12,,,,
1074,302,211,69,229,59,40,16,,,,
1056,319,221,72,217,58,47,10,,,,
1075,299,234,46,220,68,46,12,,,,
1048,323,236,68,220,52,46,7,,,,
1046,299,231,56,238,62,54,14,,,,
1074,290,211,67,222,87,39,10,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
12751,3652,2716,716,2725,751,558,131,24000,,0.172625,0.827375
12835 ,3594 ,2678 ,750 ,2678 ,750 ,559 ,156 ,24000 ,,0.21875,0.78125
,,,,,,,,,,,
,,,,,,,,,,,
0.553681684,0.93977274,0.539775106,1.526696933,0.82557141,0.001811745,0.000976292,4.139040663,8.527326572,,,
