S1&S2,S1,S2,neither
31.0,217.0,259.0,1493.0
25.0,219.0,212.0,1544.0
36.0,241.0,248.0,1475.0
29.0,226.0,246.0,1499.0
31.0,231.0,240.0,1498.0
32.0,251.0,259.0,1458.0
32.0,219.0,249.0,1500.0
29.0,221.0,231.0,1519.0
32.0,221.0,258.0,1489.0
33.0,231.0,223.0,1513.0
28.0,231.0,244.0,1497.0
35.0,225.0,204.0,1536.0
