True,False
118.0,1882.0
116.0,1884.0
145.0,1855.0
133.0,1867.0
139.0,1861.0
116.0,1884.0
128.0,1872.0
122.0,1878.0
118.0,1882.0
106.0,1894.0
121.0,1879.0
123.0,1877.0
