True,False
125.0,1875.0
133.0,1867.0
127.0,1873.0
117.0,1883.0
117.0,1883.0
107.0,1893.0
133.0,1867.0
116.0,1884.0
123.0,1877.0
118.0,1882.0
125.0,1875.0
113.0,1887.0
