S1&S2,S1,S2,neither
7.0,111.0,125.0,1757.0
14.0,102.0,137.0,1747.0
10.0,135.0,107.0,1748.0
4.0,129.0,123.0,1744.0
10.0,129.0,118.0,1743.0
7.0,109.0,109.0,1775.0
4.0,124.0,118.0,1754.0
7.0,115.0,122.0,1756.0
7.0,111.0,127.0,1755.0
4.0,102.0,105.0,1789.0
3.0,118.0,133.0,1746.0
7.0,116.0,101.0,1776.0
