none,S2,S1,S1&S2,S0,S0&S2,S0&S1,all,,,,
1648,109,117,8,104,7,6,1,,,,
1627,120,128,9,99,3,13,1,,,,
1642,106,95,12,126,9,10,0,,,,
1645,99,117,6,117,12,4,0,,,,
1636,107,115,3,123,6,9,1,,,,
1681,94,101,8,104,5,7,0,,,,
1638,116,110,8,115,9,4,0,,,,
1652,104,119,3,107,8,6,1,,,,
1646,109,121,6,104,7,6,1,,,,
1686,103,99,6,94,8,3,1,,,,
1639,107,120,13,113,5,3,0,,,,
1669,107,97,4,114,2,7,0,,,,
,,,,,,,,,,,
,,,,,,,,,,,
19809,1281,1339,86,1320,81,78,6,24000,,0.061528,0.938472
19837 ,1301 ,1301 ,85 ,1301 ,85 ,85 ,6 ,24000,,,
,,,,,,,,,,,
,,,,,,,,,,,
0.039420036,0.293844168,1.136818972,0.006310835,0.290912614,0.213478534,0.619249782,0.030036669,2.63007161,,,
