True,False
132.0,1868.0
151.0,1849.0
117.0,1883.0
127.0,1873.0
128.0,1872.0
116.0,1884.0
122.0,1878.0
129.0,1871.0
134.0,1866.0
109.0,1891.0
136.0,1864.0
108.0,1892.0
