S1&S2,S1,S2,neither
0.0,19.0,16.0,1965.0
0.0,19.0,20.0,1961.0
0.0,19.0,19.0,1962.0
0.0,19.0,19.0,1962.0
0.0,22.0,22.0,1956.0
0.0,18.0,17.0,1965.0
0.0,16.0,35.0,1949.0
0.0,24.0,13.0,1963.0
0.0,24.0,21.0,1955.0
0.0,14.0,21.0,1965.0
0.0,17.0,21.0,1962.0
0.0,22.0,16.0,1962.0
