none,S2,S1,S1&S2,S0,S0&S2,S0&S1,all
1951.0,14.0,16.0,0.0,19.0,0.0,0.0,0.0
1948.0,13.0,20.0,0.0,19.0,0.0,0.0,0.0
1941.0,21.0,18.0,1.0,19.0,0.0,0.0,0.0
1944.0,18.0,19.0,0.0,18.0,1.0,0.0,0.0
1941.0,15.0,22.0,0.0,21.0,1.0,0.0,0.0
1950.0,15.0,17.0,0.0,18.0,0.0,0.0,0.0
1931.0,18.0,35.0,0.0,16.0,0.0,0.0,0.0
1945.0,18.0,13.0,0.0,24.0,0.0,0.0,0.0
1942.0,13.0,21.0,0.0,24.0,0.0,0.0,0.0
1949.0,16.0,21.0,0.0,14.0,0.0,0.0,0.0
1947.0,15.0,21.0,0.0,17.0,0.0,0.0,0.0
1944.0,18.0,16.0,0.0,22.0,0.0,0.0,0.0
