TRUE,FALSE,
205,1795,
219,1781,
234,1766,
211,1789,
209,1791,
222,1778,
222,1778,
207,1793,
238,1762,
225,1775,
215,1785,
206,1794,
,,
,,
,,
2613,21387,24000
0.108875,0.891125,
