TRUE,FALSE,
233,1767,
203,1797,
236,1764,
217,1783,
219,1781,
240,1760,
213,1787,
222,1778,
247,1753,
228,1772,
238,1762,
220,1780,
,,
,,
,,
2716,21284,24000
0.113166667,0.886833333,
