S1&S2,S1,S2,neither
23.0,212.0,210.0,1555.0
23.0,203.0,180.0,1594.0
20.0,186.0,216.0,1578.0
22.0,210.0,195.0,1573.0
23.0,182.0,196.0,1599.0
27.0,185.0,213.0,1575.0
18.0,195.0,195.0,1592.0
32.0,191.0,190.0,1587.0
28.0,178.0,219.0,1575.0
33.0,230.0,195.0,1542.0
25.0,178.0,213.0,1584.0
27.0,216.0,193.0,1564.0
